tune_id,tune_name,identified_speed,video_url,youtube_id,source_page,source_link_label,extraction_status,notes,pdf_url,event_filters
69th-street,69th Street,Slow,https://www.youtube.com/watch?v=nTQ8gJEqrfo,nTQ8gJEqrfo,https://www.youtube.com/playlist?list=PLcV6BAqX_YFflBxey-VwMv2tEPKjIDFK_,Fiddle Tunes 1 #31,extracted,Source title: 69th Street - slow | Playlist: Fiddle Tunes 1 | Channel: Sarah Foard | Duration: 0:56,https://www.google.com,Winter Concert
69th-street,69th Street,Fast,https://www.youtube.com/watch?v=jNr6AqAgljs,jNr6AqAgljs,https://www.youtube.com/playlist?list=PLcV6BAqX_YFflBxey-VwMv2tEPKjIDFK_,Fiddle Tunes 1 #30,extracted,Source title: 69th Street - fast | Playlist: Fiddle Tunes 1 | Channel: Sarah Foard | Duration: 1:21,,
abbots-bromley-horn-dance,Abbots Bromley Horn Dance,Other,https://www.youtube.com/watch?v=Y1lWJx9tOWY,Y1lWJx9tOWY,https://www.youtube.com/playlist?list=PLcV6BAqX_YFflBxey-VwMv2tEPKjIDFK_,Fiddle Tunes 1 #55,extracted,Source title: Abbots Bromley Horn Dance | Playlist: Fiddle Tunes 1 | Channel: Sarah Foard | Duration: 1:44,,Spring Concert
angeline-the-baker,Angeline the Baker,Slow,https://www.youtube.com/watch?v=KM3jJnBBDrM,KM3jJnBBDrM,https://www.youtube.com/playlist?list=PLiKxQr5HEGbNSMPYBv246S3C6QaGgV7qH,Fiddle Tunes #57,extracted,Source title: Angeline the Baker (slow) | Playlist: Fiddle Tunes | Channel: Sarah Foard | Duration: 1:28,,May 5th Jam; Winter Concert
angeline-the-baker,Angeline the Baker,Fast,https://www.youtube.com/watch?v=yXaWIhZFTDk,yXaWIhZFTDk,https://www.youtube.com/playlist?list=PLiKxQr5HEGbNSMPYBv246S3C6QaGgV7qH,Fiddle Tunes #58,extracted,Source title: Angeline the Baker (fast) | Playlist: Fiddle Tunes | Channel: Sarah Foard | Duration: 2:49,,
appalachia-waltz,Appalachia Waltz,Other,https://www.youtube.com/watch?v=0Jc8FT3KpJk,0Jc8FT3KpJk,https://www.youtube.com/playlist?list=PLcV6BAqX_YFflBxey-VwMv2tEPKjIDFK_,Fiddle Tunes 1 #48,extracted,Source title: Appalachia Waltz | Playlist: Fiddle Tunes 1 | Channel: Sarah Foard | Duration: 2:02,,
banish-misfortune,Banish Misfortune,Medium,https://www.youtube.com/watch?v=8U_lBDW521A,8U_lBDW521A,https://www.youtube.com/playlist?list=PLiKxQr5HEGbNSMPYBv246S3C6QaGgV7qH,Fiddle Tunes #17,extracted,Source title: Banish Misfortune (medium) | Playlist: Fiddle Tunes | Channel: Sarah Foard | Duration: 1:20,,
britches-full-of-stitches,Britches Full of Stitches,Slow,https://www.youtube.com/watch?v=4vyjd8MzYVE,4vyjd8MzYVE,https://www.youtube.com/playlist?list=PLcV6BAqX_YFflBxey-VwMv2tEPKjIDFK_,Fiddle Tunes 1 #84,extracted,Source title: Britches Full of Stitches - slow | Playlist: Fiddle Tunes 1 | Channel: Sarah Foard | Duration: 1:04,,
britches-full-of-stitches,Britches Full of Stitches,Medium,https://www.youtube.com/watch?v=OH-k5O5sGrw,OH-k5O5sGrw,https://www.youtube.com/playlist?list=PLcV6BAqX_YFflBxey-VwMv2tEPKjIDFK_,Fiddle Tunes 1 #79,extracted,Source title: Peg Ryan’s / Britches Full of Stitches / Mickey Chewing Bubblegum - medium speed | Playlist: Fiddle Tunes 1 | Channel: Sarah Foard | Duration: 5:25,,
britches-full-of-stitches,Britches Full of Stitches,Medium,https://www.youtube.com/watch?v=4KmulZuDERE,4KmulZuDERE,https://www.youtube.com/playlist?list=PLcV6BAqX_YFflBxey-VwMv2tEPKjIDFK_,Fiddle Tunes 1 #83,extracted,Source title: Britches Full of Stitches - medium speed | Playlist: Fiddle Tunes 1 | Channel: Sarah Foard | Duration: 0:53,,
britches-full-of-stitches,Britches Full of Stitches,Dance Tempo,https://www.youtube.com/watch?v=HbvNXsnFkgw,HbvNXsnFkgw,https://www.youtube.com/playlist?list=PLcV6BAqX_YFflBxey-VwMv2tEPKjIDFK_,Fiddle Tunes 1 #41,extracted,Source title: Britches Full of Stitches - Dance Tempo | Playlist: Fiddle Tunes 1 | Channel: Sarah Foard | Duration: 1:21,,
